id;count;tiempo;velocidad
c1_rdd;923696;11.941;77355.0
c2_sql;15687;9.615;96068.23
c2_rdd;15687;2.385;387293.92
c3_sql;6;10.092;91527.55
c3_rdd;6;3.534;261374.08
c3_df;6;9.527;96955.6
