id;count;tiempo;velocidad
c1_rdd;923696;11.677;79103.88
c2_sql;15687;9.633;95888.72
c2_rdd;15687;1.858;497145.32
c3_sql;6;9.32;99109.01
c3_rdd;6;3.372;273931.2
c3_df;6;9.006;102564.51
