id;count;tiempo;velocidad
c1_rdd;923696;11.956;77257.95
c2_sql;15687;9.744;94796.39
c2_rdd;15687;2.082;443658.02
c3_sql;6;9.117;101315.78
c3_rdd;6;3.388;272637.54
c3_df;6;9.093;101583.2
