id;count;tiempo;velocidad
c1_rdd;923696;11.925;77458.78
c2_sql;15687;9.717;95059.79
c2_rdd;15687;1.901;485900.05
c3_sql;6;9.476;97477.42
c3_rdd;6;3.422;269928.7
c3_df;6;9.32;99109.01
