id;count;tiempo;velocidad
c1_rdd;923696;12.153;76005.6
c2_sql;15687;9.57;96519.96
c2_rdd;15687;2.053;449924.99
c3_sql;6;9.38;98475.05
c3_rdd;6;3.379;273363.72
c3_df;6;9.159;100851.18
