id;num_consulta;method;count;tiempo;velocidad
1_rdd;1;rdd;2348279;52.721;44541.62
1_df;1;df;2348279;45.334;51799.51
2_sql;2;sql;18424;46.054;50989.69
2_rdd;2;rdd;18424;2.093;1121967.99
3_sql;3;sql;8;46.08;50960.92
3_rdd;3;rdd;8;7.182;326967.28
3_df;3;df;8;45.449;51668.44
