id;num_consulta;method;count;tiempo;velocidad
1_rdd;1;rdd;2347983;51.104;45945.19
1_df;1;df;2347983;46.176;50848.56
2_sql;2;sql;18406;46.397;50606.35
2_rdd;2;rdd;18406;3.304;710648.61
3_sql;3;sql;7;44.385;52900.37
3_rdd;3;rdd;7;7.318;320850.37
3_df;3;df;7;45.281;51853.6
