id;num_consulta;method;count;tiempo;velocidad
1_rdd;1;rdd;2346546;54.456;43090.68
1_df;1;df;2346546;46.122;50876.94
2_sql;2;sql;18428;47.653;49242.36
2_rdd;2;rdd;18428;2.372;989268.97
3_sql;3;sql;8;47.482;49419.7
3_rdd;3;rdd;8;7.106;330220.38
3_df;3;df;8;47.216;49698.11
