id;num_consulta;method;count;tiempo;velocidad
1_rdd;1;rdd;312320;9.298;33590.02
1_df;1;df;312320;6.96;44873.56
2_sql;2;sql;9536;7.456;41888.41
2_rdd;2;rdd;9536;4.172;74860.98
3_sql;3;sql;6;7.2;43377.78
3_rdd;3;rdd;6;3.868;80744.57
3_df;3;df;6;7.144;43717.81
