id;num_consulta;method;count;tiempo;velocidad
1_rdd;1;rdd;2349198;52.902;44406.6
1_df;1;df;2349198;45.723;51378.91
2_sql;2;sql;18383;46.425;50602.0
2_rdd;2;rdd;18383;2.259;1039928.29
3_sql;3;sql;8;45.801;51291.41
3_rdd;3;rdd;8;7.44;315752.42
3_df;3;df;8;45.276;51886.16
