id;num_consulta;method;count;tiempo;velocidad
1_rdd;1;rdd;312542;8.3;37655.66
1_df;1;df;312542;6.679;46794.73
2_sql;2;sql;9637;7.553;41379.85
2_rdd;2;rdd;9637;2.282;136959.68
3_sql;3;sql;6;7.146;43736.64
3_rdd;3;rdd;6;2.147;145571.5
3_df;3;df;6;7.004;44623.36
