id;num_consulta;method;count;tiempo;velocidad
1_rdd;1;rdd;313377;9.563;32769.74
1_df;1;df;313377;7.055;44419.14
2_sql;2;sql;9531;7.623;41109.41
2_rdd;2;rdd;9531;5.31;59016.38
3_sql;3;sql;7;7.378;42474.52
3_rdd;3;rdd;7;4.803;65246.1
3_df;3;df;7;7.221;43398.01
