id;num_consulta;method;count;tiempo;velocidad
1_rdd;1;rdd;313197;8.622;36325.33
1_df;1;df;313197;6.746;46427.07
2_sql;2;sql;9620;7.284;42997.94
2_rdd;2;rdd;9620;3.237;96755.33
3_sql;3;sql;6;6.894;45430.37
3_rdd;3;rdd;6;2.897;108110.8
3_df;3;df;6;7.059;44368.47
