id;num_consulta;method;count;tiempo;velocidad
1_rdd;1;rdd;1564641;35.731;43789.45
1_df;1;df;1564641;31.185;50172.87
2_sql;2;sql;16217;31.255;50060.5
2_rdd;2;rdd;16217;1.993;785068.24
3_sql;3;sql;7;32.154;48660.85
3_rdd;3;rdd;7;5.098;306912.71
3_df;3;df;7;31.325;49948.64
