run, gray_time, hsl_time, yuv_time
1, 0.404370, 6.118243, 2.500427
2, 0.404549, 6.117677, 2.504837
3, 0.404229, 6.123270, 2.503057
4, 0.403352, 6.118327, 2.497381
5, 0.404814, 6.122190, 2.502141
6, 0.404008, 6.118361, 2.500041
7, 0.404588, 6.180218, 2.619454
8, 0.404316, 6.121651, 2.493873
9, 0.403774, 6.119351, 2.497856
10, 0.403837, 6.118291, 2.498640
