id;count;tiempo;velocidad
c1_rdd;923696;91.428;10102.99
c2_sql;15687;73.223;12614.83
c2_rdd;15687;11.697;78968.62
c3_sql;6;73.323;12597.63
c3_rdd;6;25.003;36943.41
c3_df;6;68.011;13581.57
