id;count;tiempo;velocidad
c1_rdd;923696;101.543;9096.6
c2_sql;15687;77.698;11888.29
c2_rdd;15687;13.721;67319.87
c3_sql;6;75.909;12168.46
c3_rdd;6;28.164;32797.05
c3_df;6;74.708;12364.08
