id;count;tiempo;velocidad
c1_rdd;923696;101.101;9136.37
c2_sql;15687;81.37;11351.8
c2_rdd;15687;14.209;65007.81
c3_sql;6;77.997;11842.71
c3_rdd;6;28.664;32224.95
c3_df;6;76.623;12055.07
