id;count;tiempo;velocidad
c1_rdd;923696;101.207;9126.8
c2_sql;15687;78.857;11713.56
c2_rdd;15687;11.852;77935.88
c3_sql;6;71.373;12941.81
c3_rdd;6;25.652;36008.73
c3_df;6;69.303;13328.37
